species	kingdom	phylum	class	order	family	genus
Clostridium_spiroforme	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Clostridium_sp_CAG_167	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Lactococcus_phage_BK5_T	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Holdemanella_biformis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
Streptococcus_phage_PH10	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Parvimonas_micra	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas
Klebsiella_quasipneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Lactobacillus_rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Catabacter_hongkongensis	Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	Catabacter
Gemella_sanguinis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella
Klebsiella_michiganensis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Actinomyces_odontolyticus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Streptococcus_sp_A12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus_anginosus_group	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Peptoniphilus_lacrimalis	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Escherichia_virus_RB14	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	T4virus
Shigella_virus_SP18	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	Sp18virus
Lactobacillus_acidophilus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Eisenbergiella_tayi	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella
Lactococcus_phage_bIL286	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Actinomyces_sp_oral_taxon_181	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Bifidobacterium_dentium	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Clostridium_sp_chh4_2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Veillonella_atypica	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Coprococcus_catus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Faecalitalea_cylindroides	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea
Lactobacillus_salivarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Ruminococcus_callidus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Lactobacillus_rogosae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Klebsiella_virus_KP34	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Podoviridae	Kp34virus
Lactobacillus_phage_phiadh	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Salmonella_phage_Fels_1	Viruses	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified	Viruses_unclassified
Veillonella_parvula	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Clostridiales_bacterium_1_7_47FAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
Clostridium_asparagiforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Lactobacillus_paragasseri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Streptococcus_mutans	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Romboutsia_ilealis	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
Bifidobacterium_animalis	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium_pseudocatenulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Enterobacteria_phage_mEp460	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Lactococcus_phage_jm3	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Sk1virus
Leuconostoc_mesenteroides	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
Bacteroides_coprocola	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_phage_B124_14	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Parabacteroides_goldsteinii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Streptococcus_sanguinis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Eubacterium_callanderi	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Roseburia_sp_CAG_471	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Actinomyces_naeslundii	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Firmicutes_bacterium_CAG_94	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Alistipes_onderdonkii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Stx2_converting_phage_1717	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Clostridium_perfringens	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Streptococcus_australis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus_gordonii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Absiella_dolichum	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella
Eubacterium_dolichum_CAG_375	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Lactobacillus_plantarum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus_phage_A2	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Streptococcus_cristatus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Bacteroides_plebeius	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Streptococcus_mitis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Mogibacterium_diversum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XIII_Incertae_Sedis	Mogibacterium
Actinomyces_oris	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Actinomyces_sp_ICM47	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Bacteroides_salyersiae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_faecis_CAG_32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Klebsiella_phage_phiKO2	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Gemella_morbillorum	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella
Streptococcus_milleri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Solobacterium_moorei	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
Megasphaera_sp_MJR8396C	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Bifidobacterium_bifidum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Escherichia_virus_P1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	P1virus
Sanguibacteroides_justesenii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Sanguibacteroides
Desulfovibrio_piger	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Coprobacillus_cateniformis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
Ruminococcus_obeum_CAG_39	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Cloacibacillus_evryensis	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
Enorma_massiliensis	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma
Olsenella_scatoligenes	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
Enterococcus_faecium	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Prevotella_sp_CAG_279	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Firmicutes_bacterium_CAG_170	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Firmicutes_bacterium_CAG_238	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Roseburia_sp_CAG_309	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Ruminococcaceae_bacterium_D5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified
Fusobacterium_nucleatum	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Veillonella_dispar	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Veillonella_infantium	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Rothia_mucilaginosa	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
Streptococcus_sp_F0442	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Oscillibacter_sp_PC13	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter
Prevotella_corporis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Flavonifractor_sp_An100	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor
Bacteroides_galacturonicus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Actinomyces_sp_S6_Spd3	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Bifidobacterium_catenulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Salmonella_virus_FelixO1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	Felixo1virus
Desulfovibrio_fairfieldensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Actinomyces_sp_HMSC035G02	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Actinomyces_sp_HPA0247	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Alloscardovia_omnicolens	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
Megasphaera_sp_DISK_18	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Allisonella_histaminiformans	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Allisonella
Lactobacillus_sakei	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus_gasseri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Rothia_dentocariosa	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
Actinomyces_massiliensis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Ruminococcus_sp_CAG_330	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Lactobacillus_phage_Lrm1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Actinomyces_sp_oral_taxon_448	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Actinomyces_graevenitzii	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Actinomyces_johnsonii	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Corynebacterium_durum	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Olsenella_profusa	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
Anaerostipes_caccae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
Propionibacterium_freudenreichii	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium
Lactobacillus_phage_Sha1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Actinomyces_sp_oral_taxon_180	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Olsenella_uli	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
Roseburia_sp_CAG_182	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Scardovia_wiggsiae	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia
Klebsiella_virus_KP36	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Kp36virus
Bacteroides_coprophilus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Lactococcus_phage_340	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Sk1virus
Parabacteroides_sp_CAG_409	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Lactococcus_phage_Tuc2009	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Actinomyces_viscosus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Enterobacteria_phage_P4	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Caudovirales_unclassified	Caudovirales_unclassified
Pseudoflavonifractor_sp_An184	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor
Phascolarctobacterium_succinatutens	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Streptococcus_virus_Sfi21	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Sfi21dt1virus
Microbacterium_phage_Min1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Butyrivibrio_sp_CAG_318	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
Lactobacillus_ruminis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Victivallis_vadensis	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	Victivallis
Odoribacter_laneus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
Propionibacterium_acidifaciens	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium
Clostridium_paraputrificum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Eubacteriaceae_bacterium_CHKCI005	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacteriaceae_unclassified
Eubacterium_limosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Escherichia_marmotae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
Lactobacillus_crispatus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus_vaginalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Streptococcus_phage_PH15	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Lactobacillus_oris	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Atopobium_parvulum	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
Clostridium_sp_D5	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Actinomyces_turicensis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Pseudoflavonifractor_capillosus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor
Atopobium_rimae	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
Gemella_haemolysans	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Gemella
Catenibacterium_mitsuokai	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
Massiliomicrobiota_timonensis	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota
Firmicutes_bacterium_CAG_646	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Finegoldia_magna	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia
Porphyromonas_sp_HMSC065F10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Veillonella_sp_T11011_6	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Eubacterium_sulci	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_Family_XIII_Incertae_Sedis_unclassified
Dialister_pneumosintes	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Methanosphaera_stadtmanae	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
Lachnoclostridium_sp_An138	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Lachnoclostridium_sp_An131	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Anaerococcus_vaginalis	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus
Streptococcus_lutetiensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Prevotella_buccalis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Prevotella_bivia	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Bifidobacterium_breve	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Streptococcus_phage_SM1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Clostridium_phage_vB_CpeS_CP51	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Clostridium_methylpentosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified
Megamonas_hypermegale	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas
Megamonas_funiformis	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas
Butyrivibrio_crossotus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
Streptococcus_virus_DT1	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Sfi21dt1virus
Bacteroides_sp_D2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Lactobacillus_reuteri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Cloacibacillus_porcorum	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Cloacibacillus
Lactococcus_phage_bIL311	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Clostridium_hylemonae	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Lactococcus_phage_BM13	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Lactococcus_phage_P087	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Bifidobacterium_angulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Anaerotruncus_sp_CAG_528	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
